,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
78,LZD,0.25,0.9,0.2982456140350877,0.7034482758620689,0.9963766213306727,0.29737609329446063,0.9977005347593583
79,LZD,0.25,0.95,0.2982456140350877,0.7034482758620689,0.9963766213306727,0.29737609329446063,0.9977005347593583
80,CFZ,0.05,0.9,0.17714285714285713,0.41517857142857145,0.9596961901261791,0.16696588868940754,0.9916925613545564
81,CFZ,0.05,0.95,0.16279069767441862,0.4117647058823529,0.9584711503123852,0.15080789946140036,0.9923901325385249
82,CFZ,0.1,0.9,0.09603340292275574,0.37398373983739835,0.9611049859120422,0.08258527827648116,0.9951170017122202
83,CFZ,0.1,0.95,0.09224318658280922,0.3728813559322034,0.9589611662379027,0.07899461400359066,0.9953072483987571
84,CFZ,0.15,0.9,0.09224318658280922,0.3728813559322034,0.9620237657723876,0.07899461400359066,0.9953072483987571
85,CFZ,0.15,0.95,0.05043859649122807,0.45098039215686275,0.9566948425823839,0.04129263913824058,0.9982243642589892
86,CFZ,0.2,0.9,0.05,0.45098039215686275,0.9616562538282494,0.04129263913824058,0.9982243642589892
87,CFZ,0.2,0.95,0.05,0.45098039215686275,0.9607987259585936,0.04129263913824058,0.9982243642589892
88,CFZ,0.25,0.9,0.05,0.45098039215686275,0.9616562538282494,0.04129263913824058,0.9982243642589892
89,CFZ,0.25,0.95,0.006818181818181818,0.75,0.9587774102658336,0.005385996409335727,0.9999365844378211
90,DLM,0.05,0.9,0.325,0.8297872340425532,0.599954856669927,0.20418848167539266,0.9993893129770992
91,DLM,0.05,0.95,0.2956521739130435,0.918918918918919,0.5992024678353773,0.17801047120418848,0.9997709923664122
92,DLM,0.1,0.9,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
93,DLM,0.1,0.95,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
94,DLM,0.15,0.9,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
95,DLM,0.15,0.95,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
96,DLM,0.2,0.9,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
97,DLM,0.2,0.95,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
98,DLM,0.25,0.9,0.20952380952380953,0.88,0.6035663230757655,0.11518324607329843,0.9997709923664122
99,DLM,0.25,0.95,0.14432989690721648,0.8235294117647058,0.6029644120081258,0.07329842931937172,0.9997709923664122
100,AMI,0.05,0.9,0.8777472527472527,0.841897233201581,0.9260438258809595,0.8561857972309067,0.9854703959317108
101,AMI,0.05,0.95,0.8776351970669111,0.8424989001319841,0.9258957654723127,0.8552925413130862,0.9855511159543124
102,AMI,0.1,0.9,0.8623646209386282,0.8422212428382547,0.9580989043529761,0.8535060294774452,0.9855511159543124
103,AMI,0.1,0.95,0.8623646209386282,0.8422212428382547,0.9568774059816405,0.8535060294774452,0.9855511159543124
104,AMI,0.15,0.9,0.8612115732368897,0.8474199288256228,0.9615042937518508,0.8508262617239839,0.9861565161238245
105,AMI,0.15,0.95,0.8616010854816825,0.8474199288256228,0.9605419010956471,0.8508262617239839,0.9861565161238245
