,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
40,AMI,MTBC-CRyPTICv1.1.1-2025.8,0.8778032036613272,0.9840616516332429,0.9262289013917678,0.8566324251898169,0.9853089558865077,0.8634036559937888,0.8908766475643899,0.9823540952537377,0.9856063925142884,0.9230509143095501,0.9292856930350425,1918,267,22474,364,54,1939
41,AMI,MTBC-CRyPTICv3.4.0-2025.8,0.8777472527472527,0.9842340369624245,0.9260438258809595,0.8561857972309067,0.9854703959317108,0.8633416578962776,0.8908263341891245,0.9825349483329956,0.9857702235841549,0.9228622708648384,0.9291042380831653,1917,267,22474,360,55,1943
42,AMI,WHOv1,0.8774104683195593,0.9843202522775053,0.925747705063666,0.8535060294774452,0.9855511159543124,0.8629684845886181,0.8905234766873389,0.9826254177795003,0.9858521414942069,0.9225604531862589,0.9288138983272022,1911,267,22474,358,61,1945
43,AMI,WHOv2,0.8702185792349727,0.9843974722161691,0.9305966834468463,0.8535060294774452,0.9855511159543124,0.8555137961577121,0.8836303787464544,0.9827109073500312,0.9859218682908492,0.9275046027400635,0.9335663267640308,1911,285,22587,358,43,1832
44,STM,MTBC-CRyPTICv1.1.1-2025.8,0.952629745733194,0.9142775502428803,0.9040859496771321,0.886116960959015,0.923670596217454,0.9468261004169515,0.9578281677617017,0.9087698503000154,0.9194822026426901,0.8996929676998681,0.9083061474566655,5470,272,9599,900,431,1292
45,STM,MTBC-CRyPTICv3.4.0-2025.8,0.9534804173080212,0.9091596559221098,0.9143843242039634,0.9031265187105135,0.9184971588499703,0.9477779638670574,0.9585873918383563,0.9035338403787673,0.9144884302642909,0.9102036610961505,0.9183877996043915,5575,272,9618,961,326,1212
46,STM,WHOv1,0.9483612804878049,0.9335960591133005,0.8571587619683813,0.806253037421027,0.9428377576117377,0.9420393099998443,0.9540273433634383,0.9285862984585437,0.9382777387333759,0.8519655144146374,0.8621992910467651,4977,271,9476,674,925,1641
47,STM,WHOv2,0.9481934620531447,0.9351623408664759,0.8552660877310176,0.8034991090231653,0.9442795352387414,0.9418516143978685,0.9538775183534295,0.9302010826260857,0.9397937807468678,0.8500451584206011,0.8603351078597402,4960,271,9476,657,942,1658
48,ETH,MTBC-CRyPTICv1.1.1-2025.8,0.8985714285714286,0.8667537557152188,0.8933409161410403,0.7982233502538071,0.8807947019867549,0.8881287658374408,0.9081401386748784,0.8609770766040498,0.8723259966553295,0.8889123850149222,0.8976132376822646,3145,355,11943,1836,440,1623
49,ETH,MTBC-CRyPTICv3.4.0-2025.8,0.8879518072289156,0.9004632981033734,0.8858442767035467,0.7482233502538072,0.9107258797558758,0.8767708542691615,0.8982360261474425,0.8953589774506894,0.905344955430031,0.8812859346643344,0.8902493863384396,2948,372,12439,1375,620,1588
50,ETH,WHOv1,0.8913708690330477,0.901290468643876,0.8540481852962465,0.7393401015228427,0.9150759641604986,0.880239080405747,0.9015836430345286,0.8960950698970137,0.906253266975981,0.8490023043922065,0.8589534611480584,2913,355,11943,1308,672,2151
51,ETH,WHOv2,0.8874801901743264,0.899059089198344,0.8499638093268534,0.7106598984771574,0.9129333852746396,0.8759789976164711,0.8980389554443335,0.893820518963588,0.9040669442028927,0.8448617003970894,0.8549269352544954,2800,355,11944,1341,785,2117
52,KAN,MTBC-CRyPTICv1.1.1-2025.8,0.8469425119004028,0.9731376869345084,0.9177314161485945,0.8173144876325088,0.9755013040318098,0.8329525244879046,0.8599578429076349,0.9708813109801221,0.9752236806580837,0.914343958858031,0.920996484106502,2313,418,20758,573,99,2058
53,KAN,MTBC-CRyPTICv3.4.0-2025.8,0.8248831355627472,0.9772270596115205,0.96021968801251,0.8106007067137809,0.9781948779340716,0.8103119909463994,0.8385579812656692,0.9751898689476507,0.9791005589433194,0.957785783193625,0.9625187550425347,2294,487,21885,510,49,994
54,KAN,WHOv1,0.8249279538904899,0.976918506330271,0.9403486021587398,0.8091872791519434,0.9784086536406003,0.8103446545659322,0.8386132182925149,0.9748434627150955,0.9788261070832989,0.9374167957344348,0.9431513927382442,2290,486,21374,505,54,1510
55,KAN,WHOv2,0.8252252252252252,0.9767463277616614,0.9341317365269461,0.8091872791519434,0.9784086536406003,0.8106482476481736,0.8389030228176195,0.9746560148071632,0.9786680099207563,0.931065191389593,0.9370710872722466,2290,485,21212,505,55,1672
56,CAP,MTBC-CRyPTICv1.1.1-2025.8,0.8226902173913043,0.9777299333916437,0.928441514152552,0.7807865892972276,0.9793679486380353,0.8023466409509419,0.841353936995364,0.9752313137062244,0.9799816707958978,0.9245385838767106,0.9321573941657186,1211,261,14532,331,79,1180
57,CAP,MTBC-CRyPTICv3.4.0-2025.8,0.8249496981891348,0.977598385469223,0.9296351028759805,0.793036750483559,0.9792432836751231,0.8048325830540758,0.8433966952296966,0.9750931528035097,0.9798568370342445,0.9257613642469681,0.9333212701418249,1230,261,14532,333,60,1178
58,CAP,WHOv1,0.8039348710990502,0.9778991159646386,0.9581675571217461,0.7640232108317214,0.9788069563049305,0.782887822206724,0.823401840769033,0.9754539541037919,0.9801056699896382,0.9551078692980234,0.9610272167990873,1185,289,15044,340,77,659
59,CAP,WHOv2,0.8087649402390438,0.9774014978834256,0.9583380697965216,0.7852998065764023,0.9783706289347379,0.7881267454641696,0.8278319663375342,0.9749286436874438,0.979635542635352,0.9552841121940583,0.9611919248096759,1218,288,15008,347,45,688
