Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2
CAP,0.4,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.5,0.1,84.02173913043478,97.60509816013979,92.2950251343387,80.85774058577407,97.7981477981478
CAP,0.5,0.2,83.27904451682954,97.67967145790554,92.39902929450511,80.23012552301255,97.86429786429787
CAP,0.5,0.30000000000000004,82.4295010845987,97.75177086541423,92.41636332119951,79.49790794979079,97.93044793044793
CAP,0.5,0.4,81.99566160520607,97.7948717948718,92.49436644132432,79.07949790794979,97.96824796824797
CAP,0.5,0.5,81.23644251626898,97.85641025641026,92.49436644132432,78.34728033472803,98.02494802494802
CAP,0.5,0.6000000000000001,79.91313789359393,97.89851358277805,92.52903449471313,76.98744769874477,98.06274806274806
CAP,0.5,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.5,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
CAP,0.5,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.6000000000000001,0.1,83.98692810457517,97.60509816013979,92.27769110764432,80.64853556485355,97.7981477981478
CAP,0.6000000000000001,0.2,83.24265505984766,97.67967145790554,92.38169526781071,80.02092050209205,97.86429786429787
CAP,0.6000000000000001,0.30000000000000004,82.3913043478261,97.75177086541423,92.39902929450511,79.2887029288703,97.93044793044793
CAP,0.6000000000000001,0.4,81.95652173913044,97.7948717948718,92.47703241462992,78.8702928870293,97.96824796824797
CAP,0.6000000000000001,0.5,81.19565217391305,97.85641025641026,92.47703241462992,78.13807531380753,98.02494802494802
CAP,0.6000000000000001,0.6000000000000001,79.91313789359393,97.89851358277805,92.52903449471313,76.98744769874477,98.06274806274806
CAP,0.6000000000000001,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.6000000000000001,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
CAP,0.6000000000000001,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.7000000000000001,0.1,83.96946564885496,97.60509816013979,92.26902409429711,80.5439330543933,97.7981477981478
CAP,0.7000000000000001,0.2,83.2244008714597,97.67967145790554,92.3730282544635,79.9163179916318,97.86429786429787
CAP,0.7000000000000001,0.30000000000000004,82.3721436343852,97.75177086541423,92.3903622811579,79.18410041841004,97.93044793044793
CAP,0.7000000000000001,0.4,81.93688792165396,97.7948717948718,92.46836540128271,78.76569037656904,97.96824796824797
CAP,0.7000000000000001,0.5,81.17519042437432,97.85641025641026,92.46836540128271,78.03347280334728,98.02494802494802
CAP,0.7000000000000001,0.6000000000000001,79.8913043478261,97.89851358277805,92.52036748136592,76.88284518828452,98.06274806274806
CAP,0.7000000000000001,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.7000000000000001,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
CAP,0.7000000000000001,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.8,0.1,84.28571428571429,97.54504267200505,90.14560582423297,80.23012552301255,97.7981477981478
CAP,0.8,0.2,83.62637362637363,97.62130302073466,90.23227595770497,79.60251046025104,97.86429786429787
CAP,0.8,0.30000000000000004,82.7661909989023,97.69522205851399,90.24960998439937,78.8702928870293,97.93044793044793
CAP,0.8,0.4,82.3271130625686,97.73969722455845,90.33628011787138,78.45188284518828,97.96824796824797
CAP,0.8,0.5,81.64835164835165,97.80300641227794,90.33628011787138,77.71966527196653,98.02494802494802
CAP,0.8,0.6000000000000001,80.35126234906696,97.84663865546219,90.405616224649,76.56903765690377,98.06274806274806
CAP,0.8,0.7000000000000001,79.16666666666666,97.90048288893554,90.46628531807939,75.52301255230127,98.1099981099981
CAP,0.8,0.8,78.28947368421053,97.95404469625433,90.50962038481539,74.68619246861925,98.15724815724816
CAP,0.8,0.9,76.83060109289617,97.9979035639413,90.6136245449818,73.5355648535565,98.1950481950482
CAP,0.9,0.1,84.26842684268426,97.54504267200505,90.13693881088577,80.1255230125523,97.7981477981478
CAP,0.9,0.2,83.6083608360836,97.62130302073466,90.22360894435776,79.49790794979079,97.86429786429787
CAP,0.9,0.30000000000000004,82.74725274725274,97.69522205851399,90.24094297105218,78.76569037656904,97.93044793044793
