,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,catalogued_R,catalogued_S,catalogued_RS
908,CIP,0.9,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
909,PZA,0.1,0.1,86.39240506329115,97.27181989575246,97.61871862189673,85.57993730407524,97.34355596350089,440,0,440
910,PZA,0.1,0.2,86.15335868187579,97.32756708804612,97.60950670167196,85.23510971786834,97.39754872847038,440,0,440
911,PZA,0.1,0.30000000000000004,85.68253968253968,97.374543037554,97.66477822302059,84.60815047021943,97.44074294044597,440,0,440
912,PZA,0.1,0.4,84.98889241510632,97.40338832908868,97.70623186403206,83.94984326018809,97.46773932293073,440,0,440
913,PZA,0.1,0.5,84.25221799746515,97.44951590594744,97.78913914605499,83.35423197492163,97.51093353490631,440,0,440
914,PZA,0.1,0.6000000000000001,83.47055098163395,97.47801559648249,97.82598682695408,82.6332288401254,97.53792991739107,440,0,440
915,PZA,0.1,0.7000000000000001,82.77936055713833,97.51686760314125,97.83519874717885,81.97492163009404,97.57572485286971,440,0,440
916,PZA,0.1,0.8,82.23205817262092,97.57230548028535,97.85822854774078,81.53605015673982,97.6297176178392,440,0,440
917,PZA,0.1,0.9,80.94184576485462,97.6281307016089,97.88125834830271,80.28213166144201,97.68371038280871,440,0,440
918,CIP,0.4,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
919,CIP,0.4,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
920,CIP,0.4,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
921,CIP,0.4,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
922,CIP,0.4,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
923,CIP,0.4,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
924,CIP,0.4,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
925,CIP,0.4,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
926,CIP,0.4,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
927,BDQ,0.7000000000000001,0.1,44.53125,99.4158482898747,95.12428298279158,37.74834437086093,99.44359325860817,29,0,29
928,BDQ,0.7000000000000001,0.2,42.96875,99.44186046511628,95.22785213511791,36.423841059602644,99.46778485605999,29,0,29
929,BDQ,0.7000000000000001,0.30000000000000004,40.0,99.49358541525996,95.42702358189929,34.437086092715234,99.51616805096363,29,0,29
930,BDQ,0.7000000000000001,0.4,38.63636363636363,99.54457282617862,95.5146590184831,33.77483443708609,99.56455124586728,29,0,29
931,BDQ,0.7000000000000001,0.5,35.60606060606061,99.57009188232318,95.56246016571063,31.125827814569533,99.5887428433191,29,0,29
932,BDQ,0.7000000000000001,0.6000000000000001,33.08270676691729,99.62079716861886,95.60229445506691,29.13907284768212,99.63712603822272,29,0,29
933,BDQ,0.7000000000000001,0.7000000000000001,31.88405797101449,99.62944247936669,95.69789674952199,29.13907284768212,99.64518990404,29,0,29
934,BDQ,0.7000000000000001,0.8,31.654676258992804,99.68018852045111,95.76959847036329,29.13907284768212,99.69357309894363,29,0,29
935,BDQ,0.7000000000000001,0.9,29.28571428571429,99.71402136428632,95.83333333333334,27.1523178807947,99.72582856221273,29,0,29
936,KAN,0.8,0.1,82.19866071428571,97.17210492642354,91.74785402074886,78.43450479233228,97.41686634328795,10,6,16
937,KAN,0.8,0.2,81.79787828029033,97.19506740783336,91.8531781557744,78.00851970181044,97.43439892466834,10,6,16
938,KAN,0.8,0.30000000000000004,81.18369625907314,97.22843093428699,91.89530780978461,77.42279020234292,97.46361989363568,10,6,16
939,KAN,0.8,0.4,80.77138065958636,97.26727110203039,91.90057401653588,76.94355697550586,97.49868505639647,10,6,16
940,KAN,0.8,0.5,80.38010061486864,97.2814294830887,91.94270367054611,76.57082002129926,97.5103734439834,10,6,16
941,KAN,0.8,0.6000000000000001,79.45281965382468,97.31470850873836,91.99536573805888,75.77209797657082,97.53959441295073,10,6,16
942,KAN,0.8,0.7000000000000001,78.72696817420436,97.3352033660589,92.03749539206909,75.07987220447284,97.55712699433113,10,6,16
943,KAN,0.8,0.8,78.00111669458403,97.36942675159236,92.11122228658697,74.38764643237486,97.58634796329846,10,6,16
944,KAN,0.8,0.9,77.07752370329058,97.39003119231015,92.16915056085102,73.58892438764644,97.60388054467887,10,6,16
945,CIP,0.7000000000000001,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
946,CIP,0.7000000000000001,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
947,CIP,0.7000000000000001,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
948,CIP,0.7000000000000001,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
949,CIP,0.7000000000000001,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
950,CIP,0.7000000000000001,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
