,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
438,KAN,0.4,0.7000000000000001,79.69837587006961,92.81225451688924,95.60229445506691
439,KAN,0.4,0.8,79.00232018561485,92.88191036964344,95.65290743448432
440,KAN,0.4,0.9,78.01624129930394,92.93001962066711,95.68102575638285
441,KAN,0.5,0.1,83.26577880718008,92.56366500393804,95.39421887301765
442,KAN,0.5,0.2,82.8505214368482,92.61128958237722,95.48419750309301
443,KAN,0.5,0.30000000000000004,82.21320973348783,92.6530344737187,95.51231582499156
444,KAN,0.5,0.4,81.79710144927537,92.69379463993185,95.52356315375098
445,KAN,0.5,0.5,81.3913043478261,92.72894012838988,95.55168147564953
446,KAN,0.5,0.6,80.39443155452436,92.77668631303209,95.56855246878865
447,KAN,0.5,0.7000000000000001,79.69837587006961,92.81225451688924,95.60229445506691
448,KAN,0.5,0.8,79.00232018561485,92.88191036964344,95.65290743448432
449,KAN,0.5,0.9,78.01624129930394,92.93001962066711,95.68102575638285
450,KAN,0.6,0.1,83.23665893271462,92.57581725088617,95.3661005511191
451,KAN,0.6,0.2,82.8206616366802,92.62343452888335,95.45607918119447
452,KAN,0.6,0.30000000000000004,82.18224027858386,92.67125532612258,95.47857383871332
453,KAN,0.6,0.4,81.76538908246226,92.71201992397431,95.48982116747273
454,KAN,0.6,0.5,81.3588850174216,92.74716634999672,95.51793948937127
455,KAN,0.6,0.6,80.3830528148578,92.79491714154713,95.54605781126982
456,KAN,0.6,0.7000000000000001,79.68659315147998,92.83048516990769,95.57979979754808
457,KAN,0.6,0.8,78.99013348810215,92.90014396021463,95.63041277696547
458,KAN,0.6,0.9,78.00348229831688,92.9421768707483,95.66415476324373
459,KAN,0.7000000000000001,0.1,83.23665893271462,92.57581725088617,95.3661005511191
460,KAN,0.7000000000000001,0.2,82.8206616366802,92.62343452888335,95.45607918119447
461,KAN,0.7000000000000001,0.30000000000000004,82.18224027858386,92.67125532612258,95.47857383871332
462,KAN,0.7000000000000001,0.4,81.76538908246226,92.71201992397431,95.48982116747273
463,KAN,0.7000000000000001,0.5,81.3588850174216,92.74716634999672,95.51793948937127
464,KAN,0.7000000000000001,0.6,80.3830528148578,92.79491714154713,95.54605781126982
465,KAN,0.7000000000000001,0.7000000000000001,79.68659315147998,92.83048516990769,95.57979979754808
466,KAN,0.7000000000000001,0.8,78.99013348810215,92.90014396021463,95.63041277696547
467,KAN,0.7000000000000001,0.9,78.00348229831688,92.9421768707483,95.66415476324373
468,KAN,0.8,0.1,83.23665893271462,92.57581725088617,95.3661005511191
469,KAN,0.8,0.2,82.8206616366802,92.62343452888335,95.45607918119447
470,KAN,0.8,0.30000000000000004,82.18224027858386,92.67125532612258,95.47857383871332
471,KAN,0.8,0.4,81.76538908246226,92.71201992397431,95.48982116747273
472,KAN,0.8,0.5,81.3588850174216,92.74716634999672,95.51793948937127
473,KAN,0.8,0.6,80.3830528148578,92.79491714154713,95.54605781126982
474,KAN,0.8,0.7000000000000001,79.68659315147998,92.83048516990769,95.57979979754808
475,KAN,0.8,0.8,78.99013348810215,92.90014396021463,95.63041277696547
476,KAN,0.8,0.9,78.00348229831688,92.9421768707483,95.66415476324373
477,KAN,0.9,0.1,83.37222870478413,92.47879233184156,93.83084017545833
478,KAN,0.9,0.2,82.94392523364486,92.5263579340718,93.90394781239456
479,KAN,0.9,0.30000000000000004,82.34950321449445,92.57505003335557,93.92081880553368
480,KAN,0.9,0.4,81.97776477472206,92.61753917972658,93.93768979867282
481,KAN,0.9,0.5,81.57894736842105,92.65382307846144,93.97705544933078
482,KAN,0.9,0.6,80.59614260666277,92.70291883246702,94.01079743560904
483,KAN,0.9,0.7000000000000001,79.94152046783626,92.73865831723403,94.03329209312788
484,KAN,0.9,0.8,79.23976608187134,92.81006590772918,94.08952873692498
485,KAN,0.9,0.9,78.30409356725147,92.85381595581875,94.13451805196266
486,LEV,0.1,0.1,92.28353521758636,96.73590504451039,88.05285658764089
487,LEV,0.1,0.2,92.04136690647482,96.79437918542101,88.09172172561213
488,LEV,0.1,0.30000000000000004,91.38475417230492,96.83148777546322,88.13058686358337
489,LEV,0.1,0.4,90.82278481012658,96.89930974033089,88.13835989117761
490,LEV,0.1,0.5,90.28906955736224,96.92391899288451,88.2160901671201
491,LEV,0.1,0.6,89.09418657052727,96.99091804354963,88.28604741546833
492,LEV,0.1,0.7000000000000001,87.7248201438849,97.04853519895059,88.3948698017878
493,LEV,0.1,0.8,86.44524236983841,97.07391636641555,88.5114652157015
494,LEV,0.1,0.9,84.70483005366727,97.12167466201483,88.67469879518072
495,LEV,0.2,0.1,92.35555555555555,96.67215815485997,88.26272833268558
496,LEV,0.2,0.2,92.11581291759465,96.72005265467311,88.30936649825108
497,LEV,0.2,0.30000000000000004,91.46940598481464,96.75723049956179,88.35600466381656
498,LEV,0.2,0.4,90.92128801431127,96.82504926647691,88.3793237465993
499,LEV,0.2,0.5,90.38461538461539,96.8602997483864,88.43373493975903
500,LEV,0.2,0.6,89.181940098346,96.91668488956921,88.48037310532453
501,LEV,0.2,0.7000000000000001,87.80160857908848,96.98492462311557,88.55033035367276
502,LEV,0.2,0.8,86.51183564091112,97.01036552100382,88.64360668480373
503,LEV,0.2,0.9,84.71849865951742,97.05818261059053,88.73688301593471
504,LEV,0.30000000000000004,0.1,92.40618101545253,96.46027397260274,88.53478429848425
505,LEV,0.30000000000000004,0.2,92.17160548429898,96.50831873905429,88.58919549164399
506,LEV,0.30000000000000004,0.30000000000000004,91.5374390784227,96.54569304766069,88.65137971239798
507,LEV,0.30000000000000004,0.4,91.00575985821887,96.59239842726082,88.71356393315196
508,LEV,0.30000000000000004,0.5,90.47408063801507,96.64883746315904,88.7524290711232
509,LEV,0.30000000000000004,0.6,89.25876608965824,96.70521492472179,88.76020209871746
510,LEV,0.30000000000000004,0.7000000000000001,87.87205686361617,96.77349029867015,88.80684026428294
511,LEV,0.30000000000000004,0.8,86.57777777777778,96.80966898954703,88.87679751263117
512,LEV,0.30000000000000004,0.9,84.79324144064029,96.87873844480696,88.95452778857364
513,LEV,0.4,0.1,92.40953221535746,96.42857142857143,88.56587640886126
514,LEV,0.4,0.2,92.17506631299734,96.47663858190174,88.62028760202098
515,LEV,0.4,0.30000000000000004,91.54118689105402,96.51404218118238,88.68247182277497
516,LEV,0.4,0.4,91.01372288623286,96.56075990828693,88.7524290711232
517,LEV,0.4,0.5,90.47829937998229,96.6171977302488,88.78352118150019
518,LEV,0.4,0.6,89.26353149955635,96.67357399934562,88.79129420909445
519,LEV,0.4,0.7000000000000001,87.87744227353464,96.74185463659147,88.83793237465993
520,LEV,0.4,0.8,86.58374055975122,96.77805594862305,88.90788962300816
521,LEV,0.4,0.9,84.8,96.84714068275711,88.98561989895065
522,LEV,0.5,0.1,92.39610963748895,96.52374163833754,88.46482705013602
523,LEV,0.5,0.2,92.16120460584588,96.57174151150055,88.51923824329576
524,LEV,0.5,0.30000000000000004,91.52617568766637,96.60905709910304,88.58142246404975
525,LEV,0.5,0.4,90.99378881987577,96.65573770491804,88.64360668480373
526,LEV,0.5,0.5,90.46985815602837,96.71217913708357,88.69801787796347
527,LEV,0.5,0.6,89.25399644760213,96.77912435855443,88.69801787796347
528,LEV,0.5,0.7000000000000001,87.86127167630057,96.83682373472949,88.74465604352896
529,LEV,0.5,0.8,86.56583629893238,96.87295707125736,88.81461329187718
530,LEV,0.5,0.9,84.79324144064029,96.94199586462075,88.90788962300816
531,LEV,0.6,0.1,92.40282685512368,96.46027397260274,88.52701127089001
532,LEV,0.6,0.2,92.17160548429898,96.51888341543514,88.58142246404975
533,LEV,0.6,0.30000000000000004,91.5374390784227,96.5562479501476,88.64360668480373
534,LEV,0.6,0.4,91.00575985821887,96.602949208083,88.70579090555772
535,LEV,0.6,0.5,90.48251438689687,96.6593886462882,88.76020209871746
536,LEV,0.6,0.6,89.27304964539007,96.72632038411174,88.7679751263117
